timeframe,timestamp,close,ema20,ema50,ema200,sma20,sma50,sma200,rsi14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_squeeze,atr14,volume_ratio,volume_quality,trend_state,momentum_state,volatility_state,trend_strength_score
15m,2026-05-09T04:30:00+00:00,80398.5,80362.45,80231.61,,80342.69,80213.77,,54.21,70.1103,69.3741,0.7362,80573.11,80342.69,80112.27,0.005736,False,106.06,2.2494,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T04:45:00+00:00,80382.3,80364.34,80237.52,,80351.96,80222.75,,53.16,63.2237,68.144,-4.9203,80572.38,80351.96,80131.54,0.005486,False,105.19,0.2816,reliable,neutral,weakening,normal,60.0
15m,2026-05-09T05:00:00+00:00,80369.2,80364.8,80242.69,,80363.37,80234.33,,52.28,56.0627,65.7278,-9.665,80560.17,80363.37,80166.57,0.004898,False,100.85,0.1746,reliable,neutral,weakening,normal,60.0
15m,2026-05-09T05:15:00+00:00,80429.5,80370.96,80250.01,,80377.54,80247.29,,55.91,54.6236,63.5069,-8.8833,80547.45,80377.54,80207.63,0.004228,True,99.11,3.5917,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T05:30:00+00:00,80449.9,80378.48,80257.85,,80390.69,80259.71,,57.1,54.501,61.7058,-7.2047,80537.65,80390.69,80243.72,0.003656,True,94.0,0.7565,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T05:45:00+00:00,80368.6,80377.54,80262.2,,80397.62,80267.38,,51.17,47.2984,58.8243,-11.5259,80524.34,80397.62,80270.9,0.003152,True,93.48,0.5828,reliable,neutral,weakening,squeeze,40.0
15m,2026-05-09T06:00:00+00:00,80385.3,80378.28,80267.02,,80401.88,80273.09,,52.27,42.4484,55.5491,-13.1007,80520.23,80401.88,80283.54,0.002944,True,90.74,0.8381,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T06:15:00+00:00,80294.3,80370.28,80268.09,,80403.24,80277.98,,46.18,30.9056,50.6204,-19.7148,80515.56,80403.24,80290.92,0.002794,True,91.48,0.2029,reliable,neutral,bearish,squeeze,40.0
15m,2026-05-09T06:30:00+00:00,80207.1,80354.74,80265.7,,80394.37,80278.26,,41.23,14.5538,43.4071,-28.8533,80536.88,80394.37,80251.86,0.003545,True,94.15,0.4215,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T06:45:00+00:00,80247.1,80344.49,80264.97,,80390.48,80278.74,,44.19,4.7676,35.6792,-30.9116,80544.74,80390.48,80236.22,0.003838,True,91.83,1.8914,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T07:00:00+00:00,80159.0,80326.82,80260.82,,80376.74,80278.84,,39.48,-9.9819,26.547,-36.5289,80560.83,80376.74,80192.65,0.004581,True,93.47,0.7493,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T07:15:00+00:00,80240.5,80318.6,80260.02,,80368.08,80282.2,,45.29,-14.9227,18.253,-33.1757,80560.94,80368.08,80175.23,0.004799,False,95.37,0.2271,reliable,neutral,bearish,normal,20.0
15m,2026-05-09T07:30:00+00:00,80220.1,80309.22,80258.45,,80359.31,80285.74,,44.15,-20.2509,10.5523,-30.8031,80562.58,80359.31,80156.03,0.005059,False,93.02,0.6046,reliable,neutral,bearish,normal,20.0
15m,2026-05-09T07:45:00+00:00,80216.7,80300.41,80256.82,,80349.9,80289.93,,43.95,-24.4659,3.5486,-28.0145,80561.54,80349.9,80138.26,0.005268,False,90.55,1.0749,reliable,neutral,bearish,normal,20.0
15m,2026-05-09T08:00:00+00:00,80383.7,80308.34,80261.79,,80347.05,80295.99,,54.74,-14.1675,0.0054,-14.1729,80555.05,80347.05,80139.05,0.005177,False,96.03,0.6734,reliable,neutral,weakening,normal,60.0
15m,2026-05-09T08:15:00+00:00,80375.6,80314.75,80266.26,,80344.47,80300.37,,54.19,-6.5836,-1.3124,-5.2712,80549.54,80344.47,80139.4,0.005105,False,91.1,0.222,reliable,neutral,weakening,normal,60.0
15m,2026-05-09T08:30:00+00:00,80416.9,80324.48,80272.16,,80347.91,80304.22,,56.57,2.7278,-0.5044,3.2321,80555.53,80347.91,80140.29,0.005168,False,88.0,3.6366,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T08:45:00+00:00,80395.1,80331.2,80276.98,,80348.1,80307.11,,54.95,8.2529,1.2471,7.0058,80555.88,80348.1,80140.31,0.005172,False,83.49,0.3558,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T09:00:00+00:00,80336.6,80331.72,80279.32,,80336.63,80308.98,,50.75,7.821,2.5619,5.2591,80517.36,80336.63,80155.9,0.004499,True,81.83,0.1932,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T09:15:00+00:00,80248.3,80323.77,80278.11,,80326.21,80311.46,,45.14,0.3496,2.1194,-1.7698,80501.77,80326.21,80150.66,0.004371,True,83.48,0.6075,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T09:30:00+00:00,80224.2,80314.29,80275.99,,80317.5,80313.32,,43.72,-7.4306,0.2094,-7.64,80495.24,80317.5,80139.76,0.004426,True,81.16,4.8586,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T09:45:00+00:00,80236.4,80306.87,80274.44,,80310.2,80314.09,,44.67,-12.4682,-2.3261,-10.1421,80488.72,80310.2,80131.69,0.004446,True,77.83,1.5193,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T10:00:00+00:00,80202.9,80296.97,80271.63,,80301.89,80313.94,,42.55,-18.9454,-5.65,-13.2954,80484.28,80301.89,80119.5,0.004543,False,77.13,1.6042,reliable,neutral,bearish,normal,20.0
15m,2026-05-09T10:15:00+00:00,80195.5,80287.31,80268.65,,80290.19,80313.12,,42.08,-24.3945,-9.3989,-14.9956,80468.08,80290.19,80112.3,0.004431,True,75.61,5.6114,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T10:30:00+00:00,80320.7,80290.49,80270.69,,80283.73,80312.26,,51.87,-18.3983,-11.1987,-7.1995,80445.89,80283.73,80121.57,0.00404,True,79.7,0.1023,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T10:45:00+00:00,80262.7,80287.84,80270.38,,80278.43,80310.57,,47.84,-18.1175,-12.5825,-5.535,80435.77,80278.43,80121.1,0.00392,True,78.16,0.1664,reliable,neutral,bearish,squeeze,20.0
