timeframe,timestamp,close,ema20,ema50,ema200,sma20,sma50,sma200,rsi14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_squeeze,atr14,volume_ratio,volume_quality,trend_state,momentum_state,volatility_state,trend_strength_score
15m,2026-05-08T23:15:00+00:00,80171.4,80191.06,80067.26,,80191.19,80073.6,,50.61,64.8978,74.2013,-9.3035,80385.77,80191.19,79996.61,0.004853,True,121.72,1.2088,reliable,neutral,weakening,squeeze,40.0
15m,2026-05-08T23:30:00+00:00,80126.1,80184.87,80069.57,,80189.8,80071.82,,47.95,52.037,69.7685,-17.7315,80385.89,80189.8,79993.72,0.00489,True,119.64,2.1547,reliable,neutral,bearish,squeeze,40.0
15m,2026-05-08T23:45:00+00:00,80196.9,80186.02,80074.56,,80196.02,80069.96,,52.18,47.0158,65.2179,-18.2022,80384.18,80196.02,80007.86,0.004693,True,116.35,0.1576,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T00:00:00+00:00,80141.0,80181.73,80077.17,,80200.91,80069.81,,48.8,38.0867,59.7917,-21.705,80377.06,80200.91,80024.75,0.004393,True,113.49,0.5039,reliable,neutral,bearish,squeeze,40.0
15m,2026-05-09T00:15:00+00:00,80146.1,80178.34,80079.87,,80207.86,80068.34,,49.13,31.0638,54.0461,-22.9823,80361.33,80207.86,80054.38,0.003827,True,109.88,0.4069,reliable,neutral,bearish,squeeze,40.0
15m,2026-05-09T00:30:00+00:00,80187.0,80179.16,80084.07,,80213.16,80067.38,,51.76,28.4701,48.9309,-20.4608,80355.05,80213.16,80071.27,0.003538,True,106.63,0.4304,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T00:45:00+00:00,80229.9,80183.99,80089.79,,80216.83,80065.97,,54.42,29.5359,45.0519,-15.516,80356.33,80216.83,80077.32,0.003478,True,102.09,0.3119,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T01:00:00+00:00,80300.0,80195.04,80098.04,,80220.62,80067.56,,58.45,35.6263,43.1668,-7.5405,80365.01,80220.62,80076.24,0.0036,True,100.87,0.2391,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T01:15:00+00:00,80267.2,80201.91,80104.67,,80221.44,80072.86,,55.96,37.3755,42.0085,-4.6331,80366.72,80221.44,80076.15,0.003622,True,100.65,0.4192,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T01:30:00+00:00,80384.5,80219.3,80115.64,,80228.52,80087.09,,62.17,47.6772,43.1423,4.535,80390.98,80228.52,80066.05,0.00405,True,101.9,0.4715,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T01:45:00+00:00,80324.9,80229.36,80123.85,,80238.54,80101.53,,57.72,50.4507,44.6039,5.8467,80398.69,80238.54,80078.39,0.003992,True,101.42,0.9149,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T02:00:00+00:00,80433.8,80248.83,80136.0,,80253.67,80118.7,,62.94,60.7358,47.8303,12.9055,80427.7,80253.67,80079.63,0.004337,True,102.48,0.5851,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T02:15:00+00:00,80413.6,80264.52,80146.89,,80264.45,80134.43,,61.43,66.4905,51.5624,14.9281,80450.27,80264.45,80078.63,0.00463,True,99.34,0.3086,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T02:30:00+00:00,80395.7,80277.02,80156.65,,80273.72,80144.11,,60.05,68.8134,55.0126,13.8009,80466.53,80273.72,80080.91,0.004804,True,97.58,0.2791,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T02:45:00+00:00,80404.8,80289.19,80166.38,,80282.14,80150.72,,60.53,70.5752,58.1251,12.4501,80482.65,80282.14,80081.62,0.004995,False,94.28,0.0965,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T03:00:00+00:00,80440.7,80303.62,80177.14,,80286.0,80155.53,,62.47,74.015,61.3031,12.7119,80495.86,80286.0,80076.13,0.005228,False,94.97,0.4187,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T03:15:00+00:00,80427.2,80315.39,80186.94,,80290.0,80161.69,,61.25,74.7896,64.0004,10.7892,80507.67,80290.0,80072.32,0.005422,False,97.53,0.9171,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T03:30:00+00:00,80348.1,80318.5,80193.26,,80291.79,80171.51,,54.54,68.2342,64.8471,3.3871,80510.82,80291.79,80072.75,0.005456,False,98.92,0.236,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T03:45:00+00:00,80391.4,80325.44,80201.03,,80297.45,80185.99,,57.3,65.7747,65.0327,0.7421,80520.81,80297.45,80074.08,0.005563,False,95.16,0.2359,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T04:00:00+00:00,80565.9,80348.34,80215.34,,80314.81,80198.1,,66.2,77.0185,67.4298,9.5887,80564.78,80314.81,80064.84,0.006225,False,107.6,1.3747,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T04:15:00+00:00,80456.6,80358.65,80224.8,,80329.07,80204.93,,58.04,76.2309,69.19,7.0408,80577.13,80329.07,80081.01,0.006176,False,109.16,0.343,reliable,neutral,bullish,normal,60.0
