date,btc_market_cap,btc_dominance,btc_volume,btc_close,usdt_market_cap,altcoin_season_index
2024-06-13,1345244310606.6865,51.36405394075136,36027809551.45211,68224.51967501991,618.8387734028372,25
2024-06-14,1317161415434.6978,52.43,29654777884.381138,66700.31696564378,599.1566520664575,25
2024-06-15,1301949410096.3496,51.51939792587784,27966992832.749634,66011.07873713733,603.0538175934126,50
2024-06-16,1304370314917.9756,52.47,13472726244.723091,66190.4874891135,607.8065562169128,25
2024-06-17,1313849391756.9756,51.09469427061975,12650130203.722813,66615.53782131766,609.8330309332431,50
2024-06-18,1309329377372.7744,52.71,29409728999.276093,66460.38897909952,603.9317705958817,25
2024-06-19,1282295865979.065,51.79834091899257,41386972050.31837,65109.314812190474,588.3547299332587,50
2024-06-20,1278699763341.0723,51.45,21680698980.889107,64907.07460760319,598.1823995707931,50
2024-06-21,1279317116821.3782,51.56549064138953,26001551474.84426,64844.67441797763,586.9059353494202,50
2024-06-22,1263258746635.2896,51.66,24694310198.90943,64071.624284709695,585.8611030285144,50
2024-06-23,1266336092890.8738,51.36021032252236,6340606686.24879,64239.90348813148,590.5596486180493,75
2024-06-24,1248188877658.2324,52.64,10748270931.518738,63221.35738437477,577.112305791683,25
2024-06-25,1188964670369.4045,50.62059494513238,42036553106.89028,60363.23497529626,568.2866257920481,75
2024-06-26,1217935012739.8113,50.28,21105562261.648533,61770.413870095355,578.10170306042,75
2024-06-27,1198205485427.564,50.51789135485435,22908540918.971207,60749.89619402014,571.9653901943021,50
2024-06-28,1213931985719.8025,50.15,18855138893.067604,61562.64532550036,580.4848098316352,75
2024-06-29,1189569860170.9426,50.411777596071225,24399416695.150173,60317.09697945116,566.7791835235641,75
2024-06-30,1199792912680.844,50.38,11435110883.886795,60864.44316193428,569.037979199843,50
2024-07-01,1236676710888.4822,50.91490244497503,17373592048.120487,62734.39383945474,581.7785946481981,75
2024-07-02,1238799172479.871,50.91,25573074910.689686,62819.82226921849,576.4582104446572,50
2024-07-03,1222901857941.0586,50.55648689243242,18100530101.689426,62042.5650371006,579.0244502710267,50
2024-07-04,1186937170314.9272,52.85,30348692427.02443,60244.68076433092,556.9797154228937,25
2024-07-05,1130121668991.0515,51.49566357053418,43112005394.93119,57189.17412408636,513.9453755496933,25
2024-07-06,1118490666778.4585,49.61,60081357583.2773,56739.86285107204,498.62196780135304,50
2024-07-07,1147176330416.144,50.94736154132278,21293913670.919975,58230.4841542266,527.4566371635227,50
2024-07-08,1100452083927.7026,51.66,20211914621.326435,55880.3753776708,489.8966088738004,50
2024-07-09,1117615464651.686,50.97199519371408,41614266908.30467,56665.140733520275,510.23246278627056,50
2024-07-10,1144794688186.9604,50.84,28413854577.262756,57988.30351208401,516.6700504533386,50
2024-07-11,1139350681822.5857,50.88604265750537,25987656347.278587,57704.202284462874,524.2934683955484,75
2024-07-12,1130276546536.143,50.81,29196653598.752666,57388.192479166675,525.4243568486237,50
2024-07-13,1141567375406.1943,50.70619410454375,25504482306.198975,57899.28895749592,533.79693592098,25
2024-07-14,1168371787725.7102,48.55,16765547593.243273,59152.71913887286,531.8300862413389,75
2024-07-15,1204059167828.704,51.34850340947693,21295520563.65442,60942.32773996293,544.9923777318921,50
2024-07-16,1277806993830.5176,49.62,37810068492.862465,64835.48973321571,586.5021629410871,75
2024-07-17,1284899538175.1812,51.419521499373445,40914441633.09575,65162.23625234354,577.0733320025251,50
2024-07-18,1266016458007.3477,52.23,33459451713.593426,64136.31384360687,568.6629868188512,25
2024-07-19,1261456293182.2588,51.15840638172789,25976148878.632153,63959.56900809379,571.9732791484945,50
2024-07-20,1316147398343.7175,49.32,36994610752.230415,66689.54880734957,593.6286687768509,75
2024-07-21,1325658979467.9998,51.589977556440225,17353396168.041622,67206.06470614894,593.7583912963933,25
2024-07-22,1343346742483.077,51.78,27078771827.95196,68088.13996324532,601.817243994619,50
2024-07-23,1333201881091.7786,52.05130593476108,43157593651.80313,67607.71339918874,589.292647245785,25
2024-07-24,1300963591115.5374,51.58,36100536095.18872,65942.41746522837,582.4529136231971,50
2024-07-25,1290447066028.3152,51.92364099153684,28680123269.715443,65403.53513022529,574.4106472326896,50
2024-07-26,1297125144853.139,51.24,35836896135.542854,65749.96361965332,570.9283836332269,50
2024-07-27,1339927966898.6016,52.76623625504381,30821370069.206276,67920.2964857025,581.0688197159623,25
2024-07-28,1342889431798.832,52.9,30976752616.761925,68055.40838968738,582.1631652390556,25
2024-07-29,1346263382369.5552,52.989214941131955,17175244020.36542,68242.2474440493,584.4214798073752,25
2024-07-30,1317581413497.2551,53.68,42529043667.45024,66770.32091848266,574.7212730893208,25
2024-07-31,1306758338817.987,52.587273265355485,28892376510.689587,66219.05102486102,585.8203686347002,25
2024-08-01,1275401473742.0508,53.51,31403681581.194077,64679.778647032515,576.7235905020976,25
2024-08-02,1289157073527.528,52.82409475669454,38911302447.60912,65357.52960767435,575.3955117876043,25
2024-08-03,1211854070245.47,55.64,39004321616.3716,61407.29547397454,542.9536431671482,25
2024-08-04,1197962170718.7737,53.27230685923655,32885545023.712658,60738.7449250574,529.824763245154,50
2024-08-05,1147854905921.6433,59.63,33664501541.451115,58006.206586686734,495.964297435195,25
2024-08-06,1064889039013.8289,53.452596962117205,120245972389.37173,53956.26184159744,464.9172230655701,50
2024-08-07,1104019419316.6865,53.25,52620100833.47091,55959.84107399357,483.58147031545303,50
2024-08-08,1088566703585.4303,53.69863115496568,41605918903.41173,55099.95181146735,474.91517548175267,50
2024-08-09,1218342891278.6091,48.46,49201548320.290726,61859.03159904161,517.0200212361478,75
2024-08-10,1198300504959.2505,54.059364757899765,33804208928.47938,60912.588533350805,508.50598966236623,75
2024-08-11,1201818989571.278,54.53,13418919090.197285,60887.70861641504,523.4081972371441,25
2024-08-12,1159146815397.6223,54.068918349579874,21715994493.456894,58804.23449992608,503.4723056454186,75
2024-08-13,1171441797233.8909,53.93,39403296385.84335,59350.07433270696,518.7522169712583,50
2024-08-14,1195798013190.8457,53.73119133805978,31955576195.246292,60601.22317789727,523.5534548294074,50
2024-08-15,1159479277227.7532,55.19,28079911397.67297,58739.19382231015,523.8422624962476,25
2024-08-16,1137141836825.8655,53.39096624703493,33490251842.381626,57624.11692852191,519.9897914144176,25
2024-08-17,1162716063850.1133,53.41,30368238897.207172,58881.92579151217,519.7178383319489,50
2024-08-18,1173270497431.1711,53.73296271713029,12467437134.05582,59430.79163445865,542.028372504351,50
2024-08-19,1156217205294.1643,53.85,17656027563.72502,58438.293742685404,530.6035820721123,50
2024-08-20,1176063402361.815,53.5532445921175,24031330179.258953,59574.945812940874,561.3466933045529,50
2024-08-21,1166088863323.0896,54.95,31470716090.619144,59060.12610074137,569.5129223388254,25
2024-08-22,1207099049402.5117,53.76878365294069,32960965010.60808,61144.68762866613,569.5545076353214,75
2024-08-23,1192308382713.8381,53.67,28170302505.847404,60387.54062321362,583.7567536762228,50
2024-08-24,1261916434075.0183,53.491645914395214,45038665759.42134,64049.68561555576,590.4688964429359,50
2024-08-25,1264961887998.9824,51.12,22029153446.354362,64157.1606134782,580.9115618477243,75
