date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2023-03-17,,0.0,0.0,11033660609.0,0.95,
2023-03-18,,0.0,0.0,12131486642.0,0.787,
2023-03-19,,0.0,0.0,12197937363.0,0.707,
2023-03-20,,0.0,0.0,13018417887.0,0.756,
2023-03-21,,0.0,0.0,12748033690.0,0.771,
2023-03-22,,0.0,0.0,12841582344.0,0.729,
2023-03-23,,0.0,0.0,12268430844.0,0.855,
2023-03-24,,0.0,0.0,12618424075.0,0.705,
2023-03-25,,0.0,0.0,12120974623.0,0.943,
2023-03-26,,0.0,0.0,12049338567.0,0.936,
2023-03-27,,0.0,0.0,12543455639.0,0.826,
2023-03-28,,0.0,0.0,12216981193.0,1.103,
2023-03-29,,0.0,0.0,12263730723.0,0.97,
2023-03-30,,0.0,0.0,13118844021.0,0.695,
2023-03-31,,0.0,0.0,12455870715.0,0.923,
2023-04-01,,0.0,0.0,12598240122.0,0.721,
2023-04-02,,0.0,0.0,12577816194.0,0.741,
2023-04-03,,0.0,0.0,12470478880.0,0.921,
2023-04-04,,0.0,0.0,11825796465.0,1.097,
2023-04-05,,0.0,0.0,12175938683.0,0.88,
2023-04-06,,0.0,0.0,12118725765.0,1.06,
2023-04-07,,0.0,0.0,12250835142.0,1.144,
2023-04-08,,0.0,0.0,12457000836.0,1.234,
2023-04-09,,0.0,0.0,12450480171.0,1.206,
2023-04-10,,0.0,0.0,12713815216.0,0.903,
2023-04-11,,0.0,0.0,14113480995.0,0.604,
2023-04-12,,0.0,0.0,14251918610.0,0.641,
2023-04-13,,0.0,0.0,14394894181.0,0.803,
2023-04-14,,0.0,0.0,14617709439.0,0.684,
2023-04-15,,0.0,0.0,13996918106.0,0.868,
2023-04-16,,0.0,0.0,13984411107.0,0.871,
2023-04-17,,0.0,0.0,13814597221.0,0.963,
2023-04-18,,0.0,0.0,13511950859.0,1.278,
2023-04-19,,0.0,0.0,13862665679.0,0.974,
2023-04-20,,0.0,0.0,13030187340.0,1.55,
2023-04-21,,0.0,0.0,13038625429.0,1.853,
2023-04-22,,0.0,0.0,12428663905.0,1.761,
2023-04-23,,0.0,0.0,12700324689.0,2.014,
2023-04-24,,0.0,0.0,12388638037.0,1.794,
2023-04-25,,0.0,0.0,12340759694.0,1.817,
2023-04-26,,0.0,0.0,12728678585.0,1.472,
2023-04-27,,0.0,0.0,11804956945.0,1.398,
2023-04-28,,0.0,0.0,12513601691.0,0.935,
2023-04-29,,0.0,0.0,12735837543.0,1.051,
2023-04-30,,0.0,0.0,12669784500.0,1.096,
2023-05-01,,0.0,0.0,12529395629.0,1.096,
2023-05-02,,0.0,0.0,12274446046.0,1.677,
2023-05-03,,0.0,0.0,12585052296.0,1.312,
2023-05-04,,0.0,0.0,12354104249.0,1.157,
2023-05-05,,0.0,0.0,12596635734.0,1.207,
2023-05-06,,0.0,0.0,13182436888.0,0.85,
2023-05-07,,0.0,0.0,12524805806.0,1.4,
2023-05-08,,0.0,0.0,12471489636.0,1.349,
2023-05-09,,0.0,0.0,12652476419.0,2.192,
2023-05-10,,0.0,0.0,12617846614.0,2.111,
2023-05-11,,0.0,0.0,12169345023.0,1.966,
2023-05-12,,0.0,0.0,12640866855.0,2.054,
2023-05-13,,0.0,0.0,12285861128.0,2.074,
2023-05-14,,0.0,0.0,12370098609.0,1.829,
2023-05-15,,0.0,0.0,12467860560.0,1.802,
2023-05-16,,0.0,0.0,12662889926.0,1.58,
2023-05-17,,0.0,0.0,12727297498.0,1.722,
2023-05-18,,0.0,0.0,12777047224.0,1.536,
2023-05-19,,0.0,0.0,12343960142.0,2.085,
2023-05-20,,0.0,0.0,12324618028.0,1.956,
2023-05-21,,0.0,0.0,12498303805.0,1.834,
2023-05-22,,0.0,0.0,12402100999.0,1.99,
2023-05-23,,0.0,0.0,12517757251.0,1.929,
2023-05-24,,0.0,0.0,12867692538.0,1.475,
2023-05-25,,0.0,0.0,12618703489.0,2.611,
2023-05-26,,0.0,0.0,12796778672.0,2.173,
2023-05-27,,0.0,0.0,12463723319.0,1.594,
2023-05-28,,0.0,0.0,12455932157.0,1.677,
2023-05-29,,0.0,0.0,13185485467.0,1.204,
2023-05-30,,0.0,0.0,13058981920.0,1.368,
2023-05-31,,0.0,0.0,13129148654.0,1.44,
2023-06-01,,0.0,0.0,12807680642.0,2.281,
2023-06-02,,0.0,0.0,12606015031.0,2.398,
2023-06-03,,0.0,0.0,12803315383.0,2.05,
2023-06-04,,0.0,0.0,12745843924.0,2.026,
2023-06-05,,0.0,0.0,12565924161.0,1.904,
2023-06-06,,0.0,0.0,12703253361.0,3.221,
2023-06-07,,0.0,0.0,12779883423.0,1.601,
2023-06-08,,0.0,0.0,12009014357.0,2.007,
2023-06-09,,0.0,0.0,12202206839.0,2.091,
2023-06-10,,0.0,0.0,12214698904.0,1.987,
2023-06-11,,0.0,0.0,11998835163.0,2.784,
2023-06-12,,0.0,0.0,11957570872.0,2.327,
2023-06-13,,0.0,0.0,12111495154.0,2.315,
2023-06-14,,0.0,0.0,12377597335.0,2.339,
2023-06-15,,0.0,0.0,12064043378.0,3.034,
2023-06-16,,0.0,0.0,12263573212.0,2.33,
2023-06-17,,0.0,0.0,12752320788.0,1.306,
2023-06-18,,0.0,0.0,12565309542.0,1.412,
2023-06-19,,0.0,0.0,12574255758.0,1.306,
2023-06-20,,0.0,0.0,12869131584.0,1.271,
2023-06-21,,0.0,0.0,14380228243.0,0.809,
2023-06-22,,0.0,0.0,14861363488.0,0.782,
2023-06-23,,0.0,0.0,15118073471.0,0.717,
2023-06-24,,0.0,0.0,15628867592.0,0.77,
2023-06-25,,0.0,0.0,15698684910.0,0.842,
2023-06-26,,0.0,0.0,15777497852.0,0.935,
2023-06-27,,0.0,0.0,15635916184.0,1.025,
2023-06-28,,0.0,0.0,15881871303.0,0.919,
2023-06-29,,0.0,0.0,15565214651.0,1.115,
2023-06-30,,0.0,0.0,15781410503.0,0.9,
2023-07-01,,0.0,0.0,14939236846.0,1.093,
2023-07-02,,0.0,0.0,15044165588.0,0.997,
2023-07-03,,0.0,0.0,14936850755.0,0.986,
2023-07-04,,0.0,0.0,15769030846.0,0.759,
2023-07-05,,0.0,0.0,15528376107.0,0.923,
2023-07-06,,0.0,0.0,15624525311.0,1.099,
2023-07-07,,0.0,0.0,14579227505.0,1.311,
2023-07-08,,0.0,0.0,14724591359.0,1.277,
2023-07-09,,0.0,0.0,14760658904.0,1.322,
2023-07-10,,0.0,0.0,14702672531.0,1.337,
2023-07-11,,0.0,0.0,14577273055.0,1.079,
2023-07-12,,0.0,0.0,14996376014.0,0.98,
2023-07-13,,0.0,0.0,15492533713.0,1.24,
2023-07-14,,0.0,0.0,15317207169.0,0.778,
2023-07-15,,0.0,0.0,15492068362.0,1.652,
2023-07-16,,0.0,0.0,15161171716.0,1.587,
2023-07-17,,0.0,0.0,15101295774.0,1.597,
2023-07-18,,0.0,0.0,15174401101.0,1.771,
2023-07-19,,0.0,0.0,15407576430.0,1.896,
2023-07-20,,0.0,0.0,15182291589.0,1.862,
2023-07-21,,0.0,0.0,14783081889.0,2.103,
2023-07-22,,0.0,0.0,14667969905.0,1.811,
2023-07-23,,0.0,0.0,14557341821.0,1.847,
2023-07-24,,0.0,0.0,14485961039.0,1.51,
2023-07-25,,0.0,0.0,14942664268.0,2.156,
2023-07-26,,0.0,0.0,14904464381.0,1.948,
2023-07-27,,0.0,0.0,14872009067.0,1.548,
2023-07-28,,0.0,0.0,14934119817.0,1.68,
2023-07-29,,0.0,0.0,14973486229.0,1.505,
2023-07-30,,0.0,0.0,14974569462.0,1.556,
2023-07-31,,0.0,0.0,14855681338.0,1.639,
2023-08-01,,0.0,0.0,15063201459.0,1.847,
2023-08-02,,0.0,0.0,15035054955.0,1.694,
2023-08-03,,0.0,0.0,14721541896.0,1.999,
2023-08-04,0.0095185,0.0,0.0,14753394399.0,1.894,
2023-08-05,0.012147,0.0,0.0,14973569806.0,2.178,
2023-08-06,0.011777666666666667,0.0,0.0,14917426294.0,2.168,
2023-08-07,0.011544666666666667,0.0,0.0,14738643580.0,2.134,
2023-08-08,0.007171,0.0,0.0,14842088404.0,2.011,
2023-08-09,0.010496,0.0,0.0,15553396285.0,1.034,
2023-08-10,0.010482,0.0,0.0,15409227421.0,1.4,
2023-08-11,0.010110666666666665,0.0,0.0,15358805438.0,1.643,
2023-08-12,0.010277333333333333,0.0,0.0,15237698380.0,1.824,
2023-08-13,0.010637666666666665,0.0,0.0,15152609975.0,1.86,
2023-08-14,0.011424666666666666,0.0,0.0,15016190825.0,1.98,
2023-08-15,0.012395666666666666,0.0,0.0,14883684788.0,1.931,
2023-08-16,0.011961333333333332,0.0,0.0,15236447738.0,2.189,
2023-08-17,0.0012646666666666674,0.0,0.0,15180769351.0,2.392,
