timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2025-09-06,110650.5703125,111275.015625,110024.0859375,110224.6953125,21500719036.0,111907.3273872423,113064.46865565416,104402.72718963183,43.50011909048472,-1467.0696048489335,-1498.3154792805751,31.245874431641596,34.7707208946651,37.15269653105145,116790.0615118129,106850.66583193716,111820.36367187503,0.08888717004213868,2812.4143616952715,64009028414.6,0.3359013496773502,1,0,0,1,0,0,0,3.3846,2.2897,-16.0702,1,HOLD
2025-09-07,110221.328125,111591.078125,110211.625,111167.6171875,24618007520.0,111836.87879679065,112990.08232356969,104470.03952791909,46.35490208753619,-1344.0065848147933,-1467.4537003874188,123.44711557262553,43.783805226344995,38.73676192505021,116080.5784602242,107051.67935227585,111566.12890625003,0.08092867608174713,2710.059987645609,61600538386.100006,0.39963948635804436,1,0,0,1,0,0,0,3.9039,0.7618,-18.7979,1,HOLD
2025-09-08,111163.015625,112869.234375,110630.609375,112071.4296875,40212813407.0,111859.21697685821,112954.05672999832,104545.67525089999,49.0141716590066,-1160.1743715707853,-1405.9978346240923,245.82346305330702,58.0952290098586,45.54991837695623,116010.44167520992,107045.84113729016,111528.14140625004,0.08037971784417616,2676.386059956637,60028299038.8,0.6698975991474949,1,0,0,1,0,0,0,3.5961,1.1218,-19.4275,1,HOLD
2025-09-09,112077.578125,113225.4375,110776.703125,111530.546875,45984480722.0,111827.91506239552,112898.23281411604,104615.17646109006,47.496751834987045,-1046.0722707776586,-1334.0127218548057,287.94045107714715,69.27416540848058,57.05106654822805,115683.20092435804,107098.66235689205,111390.93164062504,0.0770667633444512,2660.1252253168773,58927832498.60001,0.780352488327014,1,0,0,1,0,0,0,3.963,-2.2247,-20.9408,1,HOLD
2025-09-10,111531.25,114275.25,110940.078125,113955.359375,56377473784.0,112030.52880645309,112939.68875768012,104708.11360451205,54.32381025010973,-751.3226502613543,-1217.4747075361154,466.1520572747611,80.68489060876426,69.35142834236781,115890.4947455257,107045.00134822438,111467.74804687504,0.07935473311600023,2708.342843151386,58855812002.80001,0.9578913596726504,1,1,0,1,0,0,0,1.2744,-3.723,-24.1635,0,HOLD
2025-09-11,113961.4296875,115522.546875,113453.8359375,115507.5390625,45685065332.0,112361.67264036232,113040.38876963385,104815.57057424328,58.081347360966134,-388.0107770618488,-1051.581921441262,663.5711443794132,88.06166443407906,79.3402401504413,115501.05886767549,107297.7825385746,111399.42070312504,0.07363841101976902,2662.654849890573,57013660857.4,0.8013003312708761,1,1,0,1,0,0,0,-0.0543,-5.0435,-23.9496,0,HOLD
2025-09-12,115507.7890625,116769.3828125,114794.484375,116101.578125,54785725894.0,112717.85411508972,113160.43541102076,104927.86915683787,59.45601446469234,-51.555215842148755,-851.5765803214393,800.0213644792906,96.07335134223064,88.27330212835798,115695.63914424622,107175.92726200384,111435.78320312503,0.07645400460561809,2613.529391862675,56984090022.799995,0.9614214401261755,1,1,0,1,0,0,0,0.6388,-3.4271,-25.8031,0,HOLD
2025-09-13,116093.5625,116334.6328125,115248.2734375,115950.5078125,34549454947.0,113025.72589579546,113269.85001500035,105037.54715341162,58.926775623584,200.58589939656667,-641.1440843778382,841.7299837744049,94.72196561974464,92.95232713201811,116198.36277632821,106922.41144242183,111560.38710937502,0.08314735699878974,2504.445819229627,55013488288.549995,0.6280178920083278,1,1,0,1,0,0,0,0.4467,-1.3369,-26.294,0,HOLD
2025-09-14,115950.2890625,116181.5,115222.3984375,115407.65625,32798036057.0,113252.57640571971,113353.6855536278,105140.73231855182,56.96455745800562,352.54207986110123,-442.40685153005035,794.9489313911515,90.00370135798711,93.59967277332079,116713.20737764236,106935.89730985765,111824.55234375001,0.08743437700272784,2394.064086606082,52368047081.89999,0.6262986283545413,1,1,0,1,0,0,0,1.4986,-1.1711,-23.659,0,HOLD
2025-09-15,115399.6328125,116747.8828125,114461.0625,115444.875,52937859416.0,113461.36674803212,113435.69298289731,105243.2611014518,57.07010783431758,470.54751093889354,-259.8159790362616,730.3634899751551,87.03783085317613,90.58783261030263,117156.27690021918,106857.0496622808,112006.66328124999,0.09195191550414196,2386.4038170270765,51545124036.84999,1.0270197308702629,1,1,1,1,0,0,0,0.2113,2.7754,-23.4752,0,HOLD
