timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal,fear_greed_index,fear_greed_label,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow,btc_market_cap,btc_dominance,btc_volume,btc_close,usdt_market_cap,altcoin_season_index,sp500,dxy,vix,gold,hash_rate,total_btc_supply,tx_volume_usd
2025-07-10,111329.1953125,116608.78125,110660.75,115987.203125,95911605728.0,108560.62496849448,105955.4860003824,96063.388118877,70.9612504468731,1644.8846125945129,1001.9607121306224,642.9239004638906,85.39017253276262,77.65007593085787,113817.14746837488,101522.18221912516,107669.66484375,0.1141915438029099,2696.6518631499275,48541725337.0,1.9758590174151311,1,1,1,1,0,1,1,3.3301,1.69,-2.4732,1,HOLD,71,Greed,0.004132,0.0,0.0,78698690195.0,0.45,1175600000.0,2215210888568.426,62.71826591846287,37078460440.66385,111327.53054245668,669.2613994307441,25,6280.4599609375,97.6500015258789,15.779999732971191,3317.39990234375,994200697.7250328,19890115.625,11593476507.743671
2025-07-11,115986.234375,118856.4765625,115245.6875,117516.9921875,86928361085.0,109413.6123226855,106408.87839987724,96276.8568160772,73.09964574612225,2150.651904716564,1231.6989506478103,918.9529540687532,91.98208698558112,83.897216943866,115474.53969920792,101390.7485820421,108432.644140625,0.1298851580055607,2761.9473773892187,50970115635.35,1.7054770231816268,1,1,1,1,0,1,1,0.2214,1.6436,-5.7301,0,HOLD,71,Greed,0.0098723333333333,0.0,0.0,81353163223.0,0.459,1029600000.0,2303292356999.744,58.66,56204086624.04028,115879.65030112496,685.1054482111715,75,6259.75,97.8499984741211,16.399999618530273,3356.0,872105875.197397,19890706.25,17966579616.717262
2025-07-12,117530.7109375,118219.8984375,116977.0234375,117435.2265625,45524560304.0,110177.57558362022,106841.28421017616,96487.38785833018,72.79110517027483,2515.8768625931843,1488.5345330368857,1027.3423295562989,91.4731079135781,89.61512247730728,116475.31790523052,102034.7789697695,109255.0484375,0.1321727383949842,2653.4422075757034,49969493790.5,0.9110470579282705,1,1,1,1,0,1,0,1.1098,0.4166,-7.876,0,HOLD,79,Extreme Greed,0.0082113333333333,0.0,0.0,83485448409.0,0.473,,2338612196961.744,62.52244302766531,64185145923.88688,117571.02510036016,689.8418420972016,75,,,,,918141001.6128464,19891100.0,7065294773.538602
2025-07-13,117432.203125,119449.5703125,117265.4375,119116.1171875,49021091807.0,111028.8652601802,107322.6502092869,96712.54934419258,75.11632937497127,2907.438952239041,1772.3154168773167,1135.1235353617244,92.50472696190933,91.98664062035618,118167.73320215664,101696.19804784334,109931.965625,0.1498339000914531,2619.920107927439,49158660398.05,0.9972015390587118,1,1,1,1,0,1,0,0.1458,-1.0024,-10.6185,0,HOLD,74,Greed,0.0074263333333333,0.0,0.0,82389782740.0,0.483,,2335485977830.673,57.99,24351256098.393543,117418.95745007684,685.4703165458919,75,,,,,859946006.057642,19891700.0,4554222640.881363
2025-07-14,119115.7890625,123091.609375,118959.1953125,119849.703125,181746419401.0,111868.94505682967,107813.90718637368,96942.76977982253,76.07719415468668,3239.6048356967367,2065.773300641201,1173.8315350555358,89.73847917598583,91.23877135049108,119751.79342018592,101492.54486106406,110622.169140625,0.1650595780300633,2727.955390396908,55804832047.05,3.256822263128873,1,1,1,1,0,1,1,-1.5407,-1.6842,-10.5561,0,HOLD,74,Greed,0.012468,0.0,0.0,85014637598.0,0.484,297400000.0,2369050366835.5605,62.524697203208845,27310851454.97692,119117.55666327637,692.0429275667424,50,6268.56005859375,98.08000183105467,17.200000762939453,3351.5,910161831.228891,19892103.125,28379995376.52119
2025-07-15,119853.8515625,119935.5625,115765.6875,117777.1875,98321661181.0,112431.6348133221,108204.62406141784,97150.07741882926,68.07899084711819,3297.601306090146,2312.1389017309903,985.4624043591556,83.31911688730902,88.52077434173472,120669.0942695959,101616.83698040408,111142.96562499998,0.171421170760143,2830.9496482257,58139709091.95,1.691127505049962,1,1,1,1,0,0,1,0.1382,-1.7142,-7.7353,0,HOLD,73,Greed,0.011967,0.0,0.0,87885289129.0,0.579,403100000.0,2383825813673.847,64.43,68915956378.80447,119833.67446712356,689.3152771073793,25,6243.759765625,98.62000274658205,17.3799991607666,3329.800048828125,1029424416.010608,19892506.25,25653677929.517857
2025-07-16,117777.1875,120065.515625,117064.8203125,118738.5078125,72162029070.0,113032.28938467236,108617.71754185246,97364.8876715026,69.67171579464744,3382.1471547620167,2526.140552337196,856.0066024248208,74.91028865937054,82.65596157422179,121618.69509098148,101845.08694026848,111731.89101562498,0.1769737178076382,2843.0743385310075,59553211014.8,1.211723563521478,1,1,1,1,0,0,0,-1.2108,-4.5633,-6.8635,0,HOLD,70,Greed,0.012862,0.0,0.0,86128741998.0,0.817,799400000.0,2341223394839.9204,61.61818381807823,80299520980.2335,117678.19493404306,689.863427315096,75,6263.7001953125,98.38999938964844,17.15999984741211,3352.5,822284137.1792051,19893096.875,15318731737.294672
2025-07-17,118738.5078125,120999.609375,117508.21875,119289.84375,72363841798.0,113628.246943275,109036.23229511316,97583.04643845285,70.57841472946293,3453.8250066586334,2711.677443201484,742.1475634571498,72.9128153635489,77.04740697007615,122523.72499887444,102160.19843862552,112341.96171874998,0.1812637615428984,2889.3826447073643,60903718470.950005,1.1881678757023066,1,1,1,1,0,1,0,-1.5511,-5.6693,-9.0644,0,HOLD,74,Greed,0.011561,0.0,0.0,86760887431.0,0.703,522600000.0,2363194640209.576,60.98,50374263848.76278,118748.1627367753,708.5580809732663,75,6297.35986328125,98.7300033569336,16.520000457763672,3340.10009765625,853669027.9112357,19893490.625,29735820375.44461
2025-07-18,119284.109375,120851.9140625,116925.984375,118003.2265625,77945799785.0,114044.91166891548,109387.87912912833,97786.2323103339,65.64619355339593,3367.98690977812,2842.9393365168107,525.0475732613086,71.9122863034542,73.2451301087912,123069.99047097824,102681.48531027176,112875.737890625,0.1806278793097471,2963.421719192552,63299123043.450005,1.2313883042502212,1,1,1,1,0,0,0,1.6882,-3.208,-8.741,0,HOLD,73,Greed,0.0108596666666666,0.0,0.0,86861989727.0,0.639,363500000.0,2376237382764.3013,60.292216113394325,49282617205.72662,119445.36520434044,722.3981283678474,25,6296.7900390625,98.4800033569336,16.40999984741211,3353.0,903884853.0824848,19893887.5,17065964092.484243
2025-07-19,117998.125,118541.3984375,117388.4140625,117939.9765625,47564562765.0,114415.87023020926,109723.25549906449,97986.76707901216,65.40421757019607,3257.307638321552,2925.812996877759,331.4946414437932,70.08544858154232,71.63685008284847,123557.2119649185,103149.70444133149,113353.458203125,0.1800342737406173,2834.1047660359413,63900607459.80001,0.7443522785745496,1,1,1,1,0,0,0,0.691,-2.4318,-6.6731,0,HOLD,74,Greed,0.0102853333333333,0.0,0.0,85774464631.0,0.814,,2347165317624.536,60.36,58896449260.69391,117988.94664455787,729.5149107763856,75,,,,,891330896.7896729,19894287.5,6034792021.890069
2025-07-20,117944.109375,118865.03125,116550.1328125,117300.7890625,57515447231.0,114690.62440471312,110020.41367802273,98178.94640223095,62.881670875280605,3082.483478196649,2957.1470931415374,125.3363850551118,65.72862213310097,69.2421190060325,123769.76439936062,103953.69731938936,113861.730859375,0.1740362361472012,2797.0185997119456,64673139591.850006,0.8893251138568197,1,1,1,1,0,0,0,0.9098,-2.6934,-5.3426,0,HOLD,72,Greed,0.01092,0.0,0.0,84325575950.0,0.818,,2345398337785.541,59.57737644489895,23934511126.349533,117901.62655900871,732.9272514055848,25,,,,,935269743.8145156,19894687.5,3737438458.7072406
2025-07-21,117306.46875,119671.5625,116584.3984375,117439.5390625,69820091744.0,114952.42580069284,110311.35977153164,98370.59409039284,63.2133461876716,2921.4533415951155,2950.008342832253,-28.55500123713773,64.52354790074872,66.77920620513066,123689.08659398774,105208.50090601224,114448.79375,0.1614747091904189,2817.7432756253784,65958609566.700005,1.0585440202979888,1,1,1,0,0,0,0,0.1672,-2.0534,-4.9368,0,SELL,71,Greed,0.0108286666666666,0.0,0.0,84264228164.0,0.894,-131400000.0,2333757287859.664,59.25,36702153882.06748,117256.9208222684,758.1392224608369,75,6305.60009765625,97.8499984741211,16.649999618530273,3401.89990234375,941546721.960922,19895278.125,14562334193.0149
2025-07-22,117426.5,120269.96875,116233.2265625,119995.4140625,79217583118.0,115432.71039705545,110691.12660647156,98585.76642842375,68.75236871601848,2965.884677971757,2953.1836098601543,12.70106811160258,68.53223634985554,66.2614687945684,124169.50315150151,105841.69372349852,115005.59843750004,0.1593644977028077,2904.814626473566,67107055835.75001,1.1804657815996502,1,1,1,1,0,0,0,-1.7068,-2.0822,-4.6026,0,HOLD,72,Greed,0.0141696666666666,0.0,0.0,85425640539.0,1.019,-68000000.0,2337365497467.132,58.54096347193149,46344384345.39471,117482.46977767294,766.3958790528078,75,6309.6201171875,97.38999938964844,16.5,3439.199951171875,941546721.960922,19895671.875,14170292447.359936
2025-07-23,119997.4453125,120113.3515625,117391.390625,118754.9609375,66608604537.0,115749.1152104311,111007.35540376682,98786.45493100164,63.73638942532077,2867.942772819879,2936.135442452099,-68.19266963222026,69.2833720945284,67.44638544837755,124406.37529646784,106515.5200160322,115460.94765625002,0.1549515714499438,2891.75364868974,67912748949.100006,0.9807967659639658,1,1,1,0,0,0,0,0.584,-1.7399,-3.9035,0,SELL,74,Greed,0.011665,0.0,0.0,86813694819.0,0.69,-85800000.0,2387516761560.4927,58.95,58939000420.94166,119955.79570607652,786.4807204757146,75,6358.91015625,97.20999908447266,15.369999885559082,3394.10009765625,878776940.4968604,19896265.625,10879734897.830894
2025-07-24,118770.984375,119535.453125,117247.96875,118368.0,72627318560.0,115998.53280943766,111296.00813303087,98981.2961754693,62.21159650008943,2727.6558746487863,2894.439528891437,-166.7836542426503,61.29838473611495,66.3713310601663,124288.12353557616,107667.13818317384,115977.630859375,0.1433119924009791,2848.5915577119013,69413292744.3,1.0463027424378153,1,1,1,0,0,0,0,-0.3747,-1.5778,-4.572,0,SELL,71,Greed,0.0111609999999999,0.0,0.0,84223342890.0,0.891,226700000.0,2359931875300.5244,59.826752511142175,45225685167.61703,118629.05588130427,776.2226902262614,75,6363.35009765625,97.37999725341795,15.390000343322754,3371.0,922715787.5217032,19896659.375,11261125234.19587
2025-07-25,118368.0,118486.9765625,114759.8203125,117635.8828125,104857024569.0,116154.4709049674,111544.63066948064,99166.9139529522,59.32009508908955,2528.257579077166,2821.2031389285826,-292.9455598514164,46.47611692435768,59.019291251667006,123936.45722898692,108959.2748022631,116447.866015625,0.1286170622028761,2911.346178589623,73125367096.75,1.4339350177930292,1,1,1,0,0,0,0,0.2433,1.4204,-6.4441,0,HOLD,70,Greed,0.0141529999999999,0.0,0.0,83507940443.0,0.825,130800000.0,2354764508342.9937,59.47,51940414419.3327,118354.43517438594,771.2312622168195,50,6388.64013671875,97.6500015258789,14.93000030517578,3334.0,1004316503.4249831,19897062.5,22820893392.68719
2025-07-26,117644.84375,118335.6875,117181.2265625,117947.3671875,48508954046.0,116325.22293187528,111795.71837606964,99353.78413439047,60.16833914359217,2368.069547457475,2730.576420634361,-362.5068731768865,37.52405147328594,48.43285104458619,123576.25395252754,110191.0077662225,116883.630859375,0.1145177137969737,2785.85437565465,73713513775.90001,0.6580740974236339,1,1,1,0,0,0,0,-0.0985,0.6648,-8.1747,0,SELL,72,Greed,0.0116023333333333,0.0,0.0,87361613222.0,1.103,,2338855554998.781,59.39963065806276,91617702596.10349,117540.8083708574,784.7856013546323,50,,,,,970032969.1338756,19897653.125,4964932334.15206
